state,X,vote,reg2,race_eth,age,edu5,sex,weight,demVote,fips,postal,GESTCEN,census.region,alt.subregion,alt.region,new.subregion,white.religion,vap.turnout,whitenh_pct,hispanic_pct,black_pct,cvap.turnout,religion.gallup,religion.composite,otherVoteShare,demTwoPartyShare,turnout.acs.cvap.04,otherVote,age4,region,race.region,race.edu,race.age,race.sex,race.sex.edu,race.age.region,race.edu.region,race.sex.age,race.sex.region,sex.edu.region,race.subregion,edu.region,age.region,age3,edu2,age.state,edu.state,race.state
Alabama,10712,Bush,yes,White,78,somecol,Male,1.355555556,0,1,AL,63,south,deep,south,deep,0.565559286,0.549494361,0.730123991,0.008317819,0.243176461,0.572,0.85,0.707779643,0.006967006,0.371022286,0.577735877,0,4,south,43,45,44,42,425,443,435,424,423,253,405,53,43,4,hs,301,201,401
Alabama,10716,Bush,yes,White,23,hs,Female,4.111111111,0,1,AL,63,south,deep,south,deep,0.565559286,0.549494361,0.730123991,0.008317819,0.243176461,0.572,0.85,0.707779643,0.006967006,0.371022286,0.577735877,0,1,south,43,42,41,41,412,413,432,411,413,123,405,23,13,1,hs,101,201,401
Alabama,5231,Kerry,yes,White,39,col,Female,0.94,1,1,AL,63,south,deep,south,deep,0.565559286,0.549494361,0.730123991,0.008317819,0.243176461,0.572,0.85,0.707779643,0.006967006,0.371022286,0.577735877,0,2,south,43,41,42,41,411,423,431,412,413,113,405,13,23,1,col,101,101,401
Alabama,6892,Bush,yes,White,60,somecol,Male,1.5,0,1,AL,63,south,deep,south,deep,0.565559286,0.549494361,0.730123991,0.008317819,0.243176461,0.572,0.85,0.707779643,0.006967006,0.371022286,0.577735877,0,3,south,43,45,43,42,425,433,435,423,423,253,405,53,33,3,hs,201,201,401
Alabama,4375,Bush,yes,Other,45,somecol,Female,0.86,0,1,AL,63,south,deep,south,deep,0.565559286,0.549494361,0.730123991,0.008317819,0.243176461,0.572,0.85,0.707779643,0.006967006,0.371022286,0.577735877,0,3,south,33,35,33,31,315,333,335,313,313,153,305,53,33,3,hs,201,201,3005
Alabama,9609,Bush,yes,White,66,col,Male,1.288888889,0,1,AL,63,south,deep,south,deep,0.565559286,0.549494361,0.730123991,0.008317819,0.243176461,0.572,0.85,0.707779643,0.006967006,0.371022286,0.577735877,0,4,south,43,41,44,42,421,443,431,424,423,213,405,13,43,4,col,301,101,401
Alabama,10721,Bush,yes,Hispanic,35,somecol,Female,3.844444444,0,1,AL,63,south,deep,south,deep,0.565559286,0.549494361,0.730123991,0.008317819,0.243176461,0.572,0.85,0.707779643,0.006967006,0.371022286,0.577735877,0,2,south,23,25,22,21,215,223,235,212,213,153,205,53,23,1,hs,101,201,2005
Alabama,9966,Kerry,yes,White,50,postgrad,Female,1.044444444,1,1,AL,63,south,deep,south,deep,0.565559286,0.549494361,0.730123991,0.008317819,0.243176461,0.572,0.85,0.707779643,0.006967006,0.371022286,0.577735877,0,3,south,43,44,43,41,414,433,434,413,413,143,405,43,33,3,col,201,101,401
Alabama,10709,Bush,yes,White,43,col,Male,1.533333333,0,1,AL,63,south,deep,south,deep,0.565559286,0.549494361,0.730123991,0.008317819,0.243176461,0.572,0.85,0.707779643,0.006967006,0.371022286,0.577735877,0,2,south,43,41,42,42,421,423,431,422,423,213,405,13,23,1,col,101,101,401
Alabama,4791,Bush,yes,White,41,col,Male,0.6,0,1,AL,63,south,deep,south,deep,0.565559286,0.549494361,0.730123991,0.008317819,0.243176461,0.572,0.85,0.707779643,0.006967006,0.371022286,0.577735877,0,2,south,43,41,42,42,421,423,431,422,423,213,405,13,23,1,col,101,101,401
Alabama,8510,Kerry,yes,Black,47,col,Female,1.139534884,1,1,AL,63,south,deep,south,deep,0.565559286,0.549494361,0.730123991,0.008317819,0.243176461,0.572,0.85,0.707779643,0.006967006,0.371022286,0.577735877,0,3,south,13,11,13,11,111,133,131,113,113,113,105,13,33,3,col,201,101,1005
Alabama,6885,Bush,yes,White,48,col,Female,1.138888889,0,1,AL,63,south,deep,south,deep,0.565559286,0.549494361,0.730123991,0.008317819,0.243176461,0.572,0.85,0.707779643,0.006967006,0.371022286,0.577735877,0,3,south,43,41,43,41,411,433,431,413,413,113,405,13,33,3,col,201,101,401
Alabama,10374,Kerry,yes,Black,51,hs,Male,2.266666667,1,1,AL,63,south,deep,south,deep,0.565559286,0.549494361,0.730123991,0.008317819,0.243176461,0.572,0.85,0.707779643,0.006967006,0.371022286,0.577735877,0,3,south,13,12,13,12,122,133,132,123,123,223,105,23,33,3,hs,201,201,1005
Alabama,8790,Kerry,yes,White,50,hs,Female,2.733333333,1,1,AL,63,south,deep,south,deep,0.565559286,0.549494361,0.730123991,0.008317819,0.243176461,0.572,0.85,0.707779643,0.006967006,0.371022286,0.577735877,0,3,south,43,42,43,41,412,433,432,413,413,123,405,23,33,3,hs,201,201,401
Alabama,10376,Bush,yes,White,39,somecol,Female,2.266666667,0,1,AL,63,south,deep,south,deep,0.565559286,0.549494361,0.730123991,0.008317819,0.243176461,0.572,0.85,0.707779643,0.006967006,0.371022286,0.577735877,0,2,south,43,45,42,41,415,423,435,412,413,153,405,53,23,1,hs,101,201,401
Alabama,10342,Bush,yes,White,45,col,Male,1.333333333,0,1,AL,63,south,deep,south,deep,0.565559286,0.549494361,0.730123991,0.008317819,0.243176461,0.572,0.85,0.707779643,0.006967006,0.371022286,0.577735877,0,3,south,43,41,43,42,421,433,431,423,423,213,405,13,33,3,col,201,101,401
