state,X,vote,reg2,region,race_eth,age,income,edu5,sex,weight,married,pewweight,demVote,fips,postal,GESTCEN,alt.region,new.subregion,white.religion,black_pct,whitenh_pct,hispanic_pct,religion.gallup,religion.composite,turnout.acs.cvap,demTwoPartyShare,otherVoteShare,otherVote,age4,race.region,race.edu,race.age,race.sex,race.sex.edu,race.age.region,race.edu.region,race.sex.age,race.sex.region,sex.edu.region,race.subregion,edu.region,age.region,age3,edu2,age.state,edu.state,race.state
Alabama,10899,Romney,yes,south,White,52,(DO NOT READ) Don't know/Refused,col,Female,0.627589353,NA,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,41,43,41,411,433,431,413,413,113,405,13,33,3,col,201,101,401
Alabama,11402,Romney,yes,south,White,66,"$75,000 to under $100,000",somecol,Male,0.464881002,NA,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,43,45,44,42,425,443,435,424,423,253,405,53,43,4,hs,301,201,401
Alabama,16488,Romney,yes,south,White,74,(VOL) NA/Refused,nohs,Female,1.3278421,Married,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,43,43,44,41,413,443,433,414,413,133,405,33,43,4,hs,301,201,401
Alabama,15306,Romney,yes,south,White,66,Won't specify/Refused,hs,Male,1.465,Married,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,43,42,44,42,422,443,432,424,423,223,405,23,43,4,hs,301,201,401
Alabama,3641,Obama,yes,south,White,55,"75 to under $100,000",col,Female,1.125,Married,1,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,41,43,41,411,433,431,413,413,113,405,13,33,3,col,201,101,401
Alabama,8504,Obama,yes,south,Black,64,"10 to under $20,000",hs,Male,2.125,Never been married,0.594667205,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,13,12,13,12,122,133,132,123,123,223,105,23,33,3,hs,201,201,1005
Alabama,15037,Obama,yes,south,Black,35,"$30,000-$50,000",somecol,Male,2.006,Married,1,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,2,13,15,12,12,125,123,135,122,123,253,105,53,23,1,hs,101,201,1005
Alabama,15305,Romney,yes,south,White,49,"$15,000-$30,000",hs,Female,1.069,Divorced,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,42,43,41,412,433,432,413,413,123,405,23,33,3,hs,201,201,401
Alabama,7479,Romney,yes,south,White,54,"100 to under $150,000",postgrad,Male,3.541666667,Married,0.991112008,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,44,43,42,424,433,434,423,423,243,405,43,33,3,col,201,101,401
Alabama,4668,Romney,yes,south,White,77,"10 to under $20,000",hs,Female,2.541666667,Widowed,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,43,42,44,41,412,443,432,414,413,123,405,23,43,4,hs,301,201,401
Alabama,15358,Obama,yes,south,Black,78,"$15,000-$30,000",col,Female,0.399,Divorced,1,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,13,11,14,11,111,143,131,114,113,113,105,13,43,4,col,301,101,1005
Alabama,9826,Obama,yes,south,Black,36,"30 to under $40,000",hs,Female,8.583333333,NA,1,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,2,13,12,12,11,112,123,132,112,113,123,105,23,23,1,hs,101,201,1005
Alabama,5545,Romney,yes,south,White,60,(VOL.) Don't know/Refused,postgrad,Male,2,Married,0.559686781,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,44,43,42,424,433,434,423,423,243,405,43,33,3,col,201,101,401
Alabama,12748,Obama,yes,south,White,83,$500 to $999,hs,Female,0.248,Not Married,1,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,43,42,44,41,412,443,432,414,413,123,405,23,43,4,hs,301,201,401
Alabama,5940,Obama,yes,south,White,18,"100 to under $150,000",hs,Male,3,Never been married,0.839530171,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,1,43,42,41,42,422,413,432,421,423,223,405,23,13,1,hs,101,201,401
Alabama,12658,Romney,yes,south,White,75,"$7,500 to $9,999",col,Male,0.607,Married,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,43,41,44,42,421,443,431,424,423,213,405,13,43,4,col,301,101,401
Alabama,8305,Romney,yes,south,White,74,"$150,000 or more",col,Male,1.166666667,Married,0.326483955,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,43,41,44,42,421,443,431,424,423,213,405,13,43,4,col,301,101,401
Alabama,5984,Romney,yes,south,White,63,"50 to under $75,000",hs,Female,3.291666667,Married,0.92115116,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,42,43,41,412,433,432,413,413,123,405,23,33,3,hs,201,201,401
Alabama,6259,Romney,yes,south,White,83,(VOL.) Don't know/Refused,somecol,Female,1,Widowed,0.27984339,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,43,45,44,41,415,443,435,414,413,153,405,53,43,4,hs,301,201,401
Alabama,10910,Romney,yes,south,White,54,"$50,000 to under $75,000",hs,Female,1.138958455,NA,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,42,43,41,412,433,432,413,413,123,405,23,33,3,hs,201,201,401
Alabama,8023,Obama,yes,south,Black,48,"Less than $10,000",hs,Female,6.625,Divorced,1.853962461,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,13,12,13,11,112,133,132,113,113,123,105,23,33,3,hs,201,201,1005
Alabama,16725,Romney,yes,south,White,48,100 thousand or more,postgrad,Female,1.097123,Married,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,44,43,41,414,433,434,413,413,143,405,43,33,3,col,201,101,401
Alabama,12135,Romney,yes,south,zzz,80,(Refused),somecol,Female,0.357,Not Married,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,53,55,54,51,515,543,535,514,513,153,505,53,43,4,hs,301,201,5005
Alabama,9703,Romney,yes,south,Other,66,"50 to under $75,000",postgrad,Female,1,NA,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,33,34,34,31,314,343,334,314,313,143,305,43,43,4,col,301,101,3005
