state,fips,postal,GESTCEN,alt.region,new.subregion,white.religion,black_pct,whitenh_pct,hispanic_pct,religion.gallup,religion.composite,turnout.acs.cvap,d2pv.12,o.pct
Alabama,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446
Alaska,2,AK,94,west,interior,0.253847809,0.031932403,0.682378804,0.048111508,0.65,0.451923905,0.56956483,0.426847095,0.043857635
Arizona,4,AZ,86,west,interior,0.273364253,0.041735635,0.671438935,0.204153104,0.65,0.461682127,0.519855305,0.453866198,0.02066845
Arkansas,5,AR,71,south,outer,0.520205036,0.152790469,0.791283799,0.029594168,0.81,0.665102518,0.494617549,0.378455946,0.025540736
California,6,CA,93,west,california,0.254505319,0.069395156,0.495590847,0.268578613,0.63,0.44225266,0.548082862,0.618728112,0.027694326
Colorado,8,CO,84,west,interior,0.245994593,0.037895311,0.771162493,0.142742482,0.61,0.427997297,0.698917727,0.527480072,0.024690825
Connecticut,9,CT,16,east,england,0.095896568,0.094848107,0.76817706,0.102695531,0.59,0.342948284,0.608601978,0.587730064,0.012177733
Delaware,10,DE,51,east,acela,0.162097069,0.207336675,0.705848104,0.048129742,0.68,0.421048535,0.613240826,0.594469549,0.014140379
District of Columbia,11,DC,53,east,acela,0,0.491494985,0.402138085,0.051759484,0.62,0.31,0.621684595,0.925876492,0.018085947
Florida,12,FL,59,south,florida,0.300184587,0.147413173,0.64494851,0.171295604,0.71,0.505092294,0.622581014,0.504422521,0.01071245
Georgia,13,GA,58,south,coast,0.499405362,0.313351965,0.611661183,0.039168786,0.82,0.659702681,0.566801422,0.460433509,0.014290872
Hawaii,15,HI,95,west,pacific,0.354230511,0.022886249,0.272008257,0.079551909,0.64,0.497115256,0.439584743,0.717038485,0.016158382
Idaho,16,ID,82,west,interior,0.419140881,0.00406762,0.889675623,0.06495437,0.71,0.564570441,0.586602523,0.335786132,0.03508836
Illinois,17,IL,33,midwest,illinois,0.211725836,0.147433989,0.704921653,0.095121432,0.69,0.450862918,0.588087433,0.585775234,0.018414787
Indiana,18,IN,32,midwest,border,0.359914501,0.087306632,0.857306876,0.032689656,0.72,0.539957251,0.552028653,0.447888692,0.021265841
Iowa,19,IA,42,west,upper,0.288043826,0.026099226,0.925215082,0.026679687,0.7,0.494021913,0.694104816,0.529593519,0.01834115
Kansas,20,KS,47,midwest,interior,0.347570682,0.056861072,0.841699059,0.059050527,0.73,0.538785341,0.561945019,0.389396637,0.024029573
Kentucky,21,KY,61,south,outer,0.456977983,0.07580503,0.890842247,0.015033842,0.78,0.618488992,0.546372675,0.384572276,0.017512324
Louisiana,22,LA,72,south,deep,0.321563347,0.312778838,0.632801162,0.027144845,0.85,0.585781674,0.587800674,0.412531744,0.016379606
Maine,23,ME,11,east,england,0.188980252,0.00687834,0.957536626,0.010079831,0.55,0.369490126,0.682983261,0.578599214,0.027479739
Maryland,24,MD,52,east,acela,0.17770945,0.294922618,0.597295114,0.040205862,0.68,0.428854725,0.654363999,0.633217258,0.021280769
Massachusetts,25,MA,14,east,england,0.077207322,0.058994097,0.81471394,0.070307337,0.56,0.318603661,0.659693079,0.617885674,0.018166109
Michigan,26,MI,34,midwest,upper,0.229271427,0.136235738,0.798114403,0.028588043,0.69,0.459635714,0.645079007,0.548005321,0.013801188
Minnesota,27,MN,41,midwest,upper,0.19906974,0.041525127,0.881362473,0.023080415,0.7,0.44953487,0.748816492,0.539412265,0.023894957
Mississippi,28,MS,64,south,deep,0.613047898,0.363506357,0.607610334,0.014347742,0.9,0.756523949,0.583329968,0.441981008,0.009247937
Missouri,29,MO,43,south,outer,0.351393748,0.109725514,0.839045375,0.021933146,0.75,0.550696874,0.613719689,0.452213332,0.020788519
Montana,30,MT,81,west,interior,0.347729239,0,0.896384185,0.024904227,0.65,0.49886462,0.621868414,0.429657681,0.030376648
Nebraska,31,NE,46,midwest,interior,0.248409457,0.040668213,0.883560295,0.047945417,0.75,0.499204729,0.600291085,0.388706097,0.021694934
Nevada,32,NV,88,west,interior,0.278768407,0.089592897,0.630290102,0.159070827,0.61,0.444384204,0.556441731,0.534075422,0.019684349
New Hampshire,33,NH,12,east,england,0.118172428,0.008903539,0.945406086,0.019603917,0.49,0.304086214,0.700141511,0.52833752,0.016165194
New Jersey,34,NJ,22,east,acela,0.099458026,0.138347174,0.656648181,0.127074067,0.67,0.384729013,0.606719153,0.589846947,0.012538823
New Mexico,35,NM,85,west,interior,0.406461804,0.020790707,0.468807395,0.399942303,0.71,0.558230902,0.538084361,0.552952046,0.041637906
New York,36,NY,21,east,newyork,0.08410474,0.149530413,0.647553235,0.13170755,0.63,0.35705237,0.5286746,0.643009914,0.014850309
North Carolina,37,NC,56,south,new,0.457924617,0.218761125,0.711336032,0.030712293,0.81,0.633962309,0.643237067,0.489659651,0.012559673
North Dakota,38,ND,44,midwest,interior,0.29966736,0.010032313,0.904733054,0.016950891,0.78,0.53983368,0.601312489,0.398821049,0.029870408
Ohio,39,OH,31,midwest,border,0.290321223,0.114255295,0.838228662,0.021042519,0.72,0.505160612,0.643170293,0.515145525,0.018205903
Oklahoma,40,OK,73,south,outer,0.487041444,0.070587498,0.745393424,0.045755171,0.8,0.643520722,0.486059673,0.332276803,0
Oregon,41,OR,92,west,pacific,0.246384794,0.016456147,0.856252064,0.059464805,0.57,0.408192397,0.630310063,0.562711672,0.036108022
Pennsylvania,42,PA,23,east,border,0.222266243,0.101922831,0.82749284,0.041576177,0.7,0.461133122,0.593258791,0.52731934,0.014752885
Rhode Island,44,RI,15,east,england,0.114336131,0.051953846,0.825635586,0.076284845,0.63,0.372168066,0.579433413,0.64016746,0.020553796
South Carolina,45,SC,57,south,coast,0.511212512,0.273463766,0.680587592,0.022990288,0.85,0.680606256,0.558940013,0.446917453,0.013508353
South Dakota,46,SD,45,midwest,interior,0.356909253,0.00940033,0.879740276,0.017554263,0.78,0.568454627,0.588131168,0.407815009,0.022445474
Tennessee,47,TN,62,south,outer,0.55548745,0.16348748,0.794475349,0.019718537,0.83,0.692743725,0.512250466,0.396489285,0.015386622
Texas,48,TX,74,south,texas,0.412276566,0.131693347,0.545662356,0.27380932,0.79,0.601138283,0.483431488,0.419921028,0.015211902
Utah,49,UT,87,west,interior,0.732085726,0.009680117,0.864096844,0.075369906,0.74,0.736042863,0.556508272,0.253738111,0.027866673
Vermont,50,VT,13,east,england,0.158237042,0.008037704,0.959480634,0.012705859,0.44,0.299118521,0.60489266,0.682472588,0.024568145
Virginia,51,VA,54,south,new,0.331647253,0.195085575,0.695341074,0.045209361,0.75,0.540823627,0.655213891,0.519673767,0.015604403
Washington,53,WA,91,west,pacific,0.239837354,0.035152964,0.795754256,0.062369485,0.59,0.414918677,0.644665506,0.576282983,0.03175249
West Virginia,54,WV,55,south,outer,0.42741612,0.033289977,0.939325538,0.008936623,0.75,0.58870806,0.460700374,0.363257024,0.024095435
Wisconsin,55,WI,35,midwest,upper,0.198288389,0.055826793,0.877173751,0.032188425,0.69,0.444144195,0.718302704,0.535163824,0.012867476
Wyoming,56,WY,83,west,interior,0.518751343,0.011530343,0.883861913,0.071264041,0.61,0.564375672,0.578020637,0.28839366,0.035384906
