fips,X,race_eth,edu5,age4,SEX,Freq,sex,state,postal,GESTCEN,census.region,nate.subregion,nate.region
1,1,Black,col,1,1,5154,Male,Alabama,AL,63,south,deep,south
1,2551,Other,nohs,3,1,1968,Male,Alabama,AL,63,south,deep,south
1,6682,White,nohs,3,2,50682,Female,Alabama,AL,63,south,deep,south
1,1582,White,nohs,2,1,36436,Male,Alabama,AL,63,south,deep,south
1,4132,Hispanic,col,1,2,1524,Female,Alabama,AL,63,south,deep,south
1,5713,Black,postgrad,2,2,11383,Female,Alabama,AL,63,south,deep,south
1,613,Black,postgrad,1,1,564,Male,Alabama,AL,63,south,deep,south
1,2194,White,col,3,1,79171,Male,Alabama,AL,63,south,deep,south
1,4744,Hispanic,postgrad,1,2,0,Female,Alabama,AL,63,south,deep,south
1,7294,White,col,4,2,25414,Female,Alabama,AL,63,south,deep,south
1,1225,Black,hs,2,1,40636,Male,Alabama,AL,63,south,deep,south
1,3775,Other,postgrad,4,1,845,Male,Alabama,AL,63,south,deep,south
1,7906,White,postgrad,4,2,20663,Female,Alabama,AL,63,south,deep,south
1,256,Hispanic,hs,1,1,2180,Male,Alabama,AL,63,south,deep,south
1,4387,Other,hs,1,2,2475,Female,Alabama,AL,63,south,deep,south
1,1837,Black,somecol,2,1,38398,Male,Alabama,AL,63,south,deep,south
1,5764,Hispanic,postgrad,2,2,587,Female,Alabama,AL,63,south,deep,south
1,3418,White,hs,4,1,76446,Male,Alabama,AL,63,south,deep,south
1,868,Hispanic,somecol,1,1,4661,Male,Alabama,AL,63,south,deep,south
1,4795,Other,postgrad,1,2,0,Female,Alabama,AL,63,south,deep,south
1,2449,Black,nohs,3,1,31825,Male,Alabama,AL,63,south,deep,south
1,6580,Hispanic,nohs,3,2,1540,Female,Alabama,AL,63,south,deep,south
1,1480,Hispanic,nohs,2,1,2308,Male,Alabama,AL,63,south,deep,south
1,4030,White,somecol,4,1,56630,Male,Alabama,AL,63,south,deep,south
1,5611,Other,nohs,2,2,1386,Female,Alabama,AL,63,south,deep,south
1,511,Other,nohs,1,1,2466,Male,Alabama,AL,63,south,deep,south
1,3061,Black,col,4,1,1886,Male,Alabama,AL,63,south,deep,south
1,4642,White,nohs,1,2,22685,Female,Alabama,AL,63,south,deep,south
1,2092,Hispanic,col,3,1,1021,Male,Alabama,AL,63,south,deep,south
1,1123,Other,col,2,1,1494,Male,Alabama,AL,63,south,deep,south
1,3673,Black,postgrad,4,1,3961,Male,Alabama,AL,63,south,deep,south
1,7804,Hispanic,postgrad,4,2,0,Female,Alabama,AL,63,south,deep,south
1,154,White,col,1,1,28825,Male,Alabama,AL,63,south,deep,south
1,2704,Hispanic,postgrad,3,1,1075,Male,Alabama,AL,63,south,deep,south
1,6835,Other,postgrad,3,2,1648,Female,Alabama,AL,63,south,deep,south
1,1735,Other,postgrad,2,1,886,Male,Alabama,AL,63,south,deep,south
1,3316,Hispanic,hs,4,1,262,Male,Alabama,AL,63,south,deep,south
1,766,White,postgrad,1,1,7972,Male,Alabama,AL,63,south,deep,south
1,4693,Black,postgrad,1,2,1878,Female,Alabama,AL,63,south,deep,south
